Char,Stroke,HD,Num-neighbor,C&B_raw,C&B_log
裁,12,4.0,220.0,1972.0,3.29
裂,12,8.0,304.0,2049.0,3.31
视,8,29.0,306.0,15581.0,4.19
诉,7,9.0,305.0,65753.0,4.82
诊,7,4.0,261.0,2337.0,3.37
证,7,5.0,305.0,30165.0,4.48
诋,7,,,90.0,1.95
诈,7,5.0,306.0,957.0,2.98
诏,7,7.0,305.0,5.0,0.7
评,7,11.0,217.0,6455.0,3.81
诅,7,5.0,261.0,934.0,2.97
词,7,9.0,219.0,7178.0,3.86
咏,8,12.0,260.0,125.0,2.1
象,11,6.0,306.0,17007.0,4.23
貂,12,6.0,277.0,112.0,2.05
贮,8,7.0,262.0,75.0,1.88
贵,9,3.0,305.0,3682.0,3.57
贬,8,2.0,261.0,196.0,2.29
买,6,1.0,261.0,18045.0,4.26
